"ML2","ML5","ML1","ML3","ML4","variable"
"","-0.360","","","","A1"
"",".603","","","","A2"
"",".668","","","","A3"
"",".456","","","","A4"
"",".577","","","","A5"
"","","",".532","","C1"
"","","",".638","","C2"
"","","",".564","","C3"
"","","","-0.643","","C4"
"","","","-0.570","","C5"
"","",".565","","","E1"
"","",".667","","","E2"
"",".303","-0.341","",".315","E3"
"",".362","-0.527","","","E4"
"","","-0.394","","","E5"
".852","","","","","N1"
".817","","","","","N2"
".665","","","","","N3"
".413","",".420","","","N4"
".439","","","","","N5"
"","","","",".534","O1"
"","","","","-0.441","O2"
"","","","",".633","O3"
"","",".357","",".379","O4"
"","","","","-0.522","O5"
